wind_scen,price_scen,imb_scen,profit_EUR
w1,p1,i1,146091.22766090426
w1,p1,i2,137903.5907619681
w1,p1,i3,145026.9401875
w1,p1,i4,151006.81259707446
w1,p2,i1,99595.4500851064
w1,p2,i2,101040.15390425532
w1,p2,i3,77308.83459042554
w1,p2,i4,108573.58138829788
w1,p3,i1,85860.3915950798
w1,p3,i2,69629.79786103724
w1,p3,i3,81399.5433025266
w1,p3,i4,74791.26039827126
w1,p4,i1,153103.32732646278
w1,p4,i2,158630.12259773936
w1,p4,i3,133519.27362965426
w1,p4,i4,171173.03529454788
w1,p5,i1,116785.63742885638
w1,p5,i2,107251.8445511968
w1,p5,i3,107376.79998204787
w1,p5,i4,116258.3366043883
w1,p6,i1,145717.86150997342
w1,p6,i2,139292.91931848406
w1,p6,i3,128043.06350465426
w1,p6,i4,150137.18904720744
w1,p7,i1,118290.05681981384
w1,p7,i2,116440.7510538564
w1,p7,i3,96280.53567087767
w1,p7,i4,129703.33466023937
w1,p8,i1,9310.988802526595
w1,p8,i2,9598.053345079788
w1,p8,i3,6037.842972739362
w1,p8,i4,9930.828770611703
w1,p9,i1,5013.547211436171
w1,p9,i2,4659.45216356383
w1,p9,i3,3304.843982712766
w1,p9,i4,5362.7058071808515
w1,p10,i1,43705.19701396277
w1,p10,i2,42916.40543949468
w1,p10,i3,30895.48090757979
w1,p10,i4,47620.065652260644
w1,p11,i1,111613.2651575798
w1,p11,i2,99242.43813098404
w1,p11,i3,104456.08723204787
w1,p11,i4,107904.44417353722
w1,p12,i1,157684.43380851066
w1,p12,i2,147781.46693085108
w1,p12,i3,141618.88015425534
w1,p12,i4,160416.57481914893
w1,p13,i1,203784.9693670213
w1,p13,i2,197115.4500531915
w1,p13,i3,185743.22684574468
w1,p13,i4,214193.85113829788
w1,p14,i1,164850.05662101065
w1,p14,i2,158903.80246143616
w1,p14,i3,141854.79162101063
w1,p14,i4,172638.59049335105
w1,p15,i1,82618.64773138298
w1,p15,i2,90032.3653962766
w1,p15,i3,64138.707348404256
w1,p15,i4,96970.78252393617
w1,p16,i1,98697.07269481383
w1,p16,i2,85247.6348863032
w1,p16,i3,93861.80569481383
w1,p16,i4,93527.40577992023
w1,p17,i1,92343.58766555852
w1,p17,i2,93736.4222293883
w1,p17,i3,72366.7622293883
w1,p17,i4,100037.84096343086
w1,p18,i1,170225.41897406915
w1,p18,i2,161693.777825133
w1,p18,i3,155687.74615492023
w1,p18,i4,174014.07068683513
w1,p19,i1,91234.25510638299
w1,p19,i2,95657.4878031915
w1,p19,i3,69923.08525
w1,p19,i4,102927.49845744681
w1,p20,i1,25934.355478058515
w1,p20,i2,28434.50843018617
w1,p20,i3,21745.559467420215
w1,p20,i4,29729.325962101066
w2,p1,i1,86062.42408111703
w2,p1,i2,70457.14163430851
w2,p1,i3,81148.65715558511
w2,p1,i4,79773.86317686169
w2,p2,i1,62562.46846808511
w2,p2,i2,60239.60707978724
w2,p2,i3,39727.01888829788
w2,p2,i4,65794.0402606383
w2,p3,i1,70116.63110837767
w2,p3,i2,51446.787645611694
w2,p3,i3,66996.96466156915
w2,p3,i4,58407.61360305851
w2,p4,i1,82603.25194015958
w2,p4,i2,80876.44800930851
w2,p4,i3,58824.062094414876
w2,p4,i4,87361.57546675531
w2,p5,i1,77661.29548670212
w2,p5,i2,62144.387992021264
w2,p5,i3,68178.58113031914
w2,p5,i4,70704.44834840424
w2,p6,i1,95288.69393351063
w2,p6,i2,82161.33739627659
w2,p6,i3,76990.39600265957
w2,p6,i4,91499.47423670212
w2,p7,i1,73573.23110970746
w2,p7,i2,65935.14997140957
w2,p7,i3,51403.084178856385
w2,p7,i4,77423.33558843085
w2,p8,i1,6206.937319813829
w2,p8,i2,6455.469740026596
w2,p8,i3,3219.6407878989353
w2,p8,i4,6779.645378324468
w2,p9,i1,4317.623430851064
w2,p9,i2,3977.8417819148935
w2,p9,i3,2598.4724946808506
w2,p9,i4,4554.757361702128
w2,p10,i1,29952.94153723404
w2,p10,i2,27937.79904255319
w2,p10,i3,16851.94464893617
w2,p10,i4,31198.557622340428
w2,p11,i1,78341.0634581117
w2,p11,i2,61463.57694215426
w2,p11,i3,70607.6264900266
w2,p11,i4,69400.93174534573
w2,p12,i1,103169.17149135639
w2,p12,i2,87456.2026775266
w2,p12,i3,85131.74925731384
w2,p12,i4,97328.81227859043
w2,p13,i1,124812.17291289894
w2,p13,i2,108513.72477460105
w2,p13,i3,103133.09167353724
w2,p13,i4,120947.7980511968
w2,p14,i1,105513.49418284575
w2,p14,i2,93495.32651263298
w2,p14,i3,80433.90818816489
w2,p14,i4,103770.07390624999
w2,p15,i1,43730.54816555851
w2,p15,i2,46972.4226868351
w2,p15,i3,23359.914947473404
w2,p15,i4,50465.530569813825
w2,p16,i1,70521.15318550532
w2,p16,i2,52874.481962101076
w2,p16,i3,65669.09125465425
w2,p16,i4,61095.38404720746
w2,p17,i1,58529.08706582447
w2,p17,i2,57326.28846476064
w2,p17,i3,37333.43272539893
w2,p17,i4,61009.16212433511
w2,p18,i1,105676.91234640959
w2,p18,i2,89691.59197938831
w2,p18,i3,89545.55386768618
w2,p18,i4,99904.8970432181
w2,p19,i1,51369.3839375
w2,p19,i2,52198.36954388298
w2,p19,i3,28996.164724734048
w2,p19,i4,56836.36415026596
w2,p20,i1,10650.726517287234
w2,p20,i2,11534.674878989363
w2,p20,i3,6033.594910904255
w2,p20,i4,12152.826868351065
w3,p1,i1,675431.8261462766
w3,p1,i2,717811.2084069148
w3,p1,i3,728009.0286037234
w3,p1,i4,797388.1964175531
w3,p2,i1,421305.58130385634
w3,p2,i2,453468.4350006649
w3,p2,i3,418922.90380917554
w3,p2,i4,494324.413862367
w3,p3,i1,334925.3641715425
w3,p3,i2,341801.4533630319
w3,p3,i3,348829.350724734
w3,p3,i4,376095.17054388294
w3,p4,i1,704681.368899601
w3,p4,i2,761202.9670113032
w3,p4,i3,732123.1381761967
w3,p4,i4,839017.4313357712
w3,p5,i1,487257.7676615691
w3,p5,i2,514804.4748424202
w3,p5,i3,506448.6417573138
w3,p5,i4,567926.5999115692
w3,p6,i1,615450.079412234
w3,p6,i2,656872.6186196808
w3,p6,i3,632729.9162047872
w3,p6,i4,720982.0500984042
w3,p7,i1,488390.921174867
w3,p7,i2,526108.8868823138
w3,p7,i3,489372.58044082444
w3,p7,i4,577176.8996961436
w3,p8,i1,38572.84983377659
w3,p8,i2,40495.77700398935
w3,p8,i3,34669.91346143617
w3,p8,i4,42875.71587632978
w3,p9,i1,19220.28844680851
w3,p9,i2,19925.48448404255
w3,p9,i3,18653.974510638298
w3,p9,i4,22890.730398936168
w3,p10,i1,175587.69011968083
w3,p10,i2,184658.7966143617
w3,p10,i3,170808.80924202126
w3,p10,i4,207124.84858776594
w3,p11,i1,475733.7728676862
w3,p11,i2,497360.87644215423
w3,p11,i3,498931.37247938826
w3,p11,i4,551133.5113198138
w3,p12,i1,680418.2936589096
w3,p12,i2,716386.1920259309
w3,p12,i3,709091.0996482712
w3,p12,i4,791914.8790259308
w3,p13,i1,906455.4564175531
w3,p13,i2,965132.9579388298
w3,p13,i3,951502.8258537233
w3,p13,i4,1067350.6699388297
w3,p14,i1,720222.140555851
w3,p14,i2,763743.3399015957
w3,p14,i3,741353.5873164893
w3,p14,i4,841989.7473696808
w3,p15,i1,372706.54023670213
w3,p15,i2,408648.8186143617
w3,p15,i3,377313.8398430851
w3,p15,i4,448917.4607739361
w3,p16,i1,412549.788068484
w3,p16,i2,427404.05073337763
w3,p16,i3,433996.36514827126
w3,p16,i4,475307.941068484
w3,p17,i1,388225.70941755315
w3,p17,i2,414497.03240159573
w3,p17,i3,390377.54466755316
w3,p17,i4,455363.33772074466
w3,p18,i1,741108.263118351
w3,p18,i2,785485.383650266
w3,p18,i3,771390.160905585
w3,p18,i4,859440.7797513298
w3,p19,i1,391825.9888457447
w3,p19,i2,423668.6319361702
w3,p19,i3,389169.70513829787
w3,p19,i4,460332.95183510636
w3,p20,i1,119144.18940890957
w3,p20,i2,130873.15303656916
w3,p20,i3,120246.3282386968
w3,p20,i4,138410.21587699468
w4,p1,i1,551984.1069906915
w4,p1,i2,580667.7473843085
w4,p1,i3,593388.5603630319
w4,p1,i4,649587.4303470745
w4,p2,i1,323531.9807320479
w4,p2,i2,346203.4202426862
w4,p2,i3,316234.9591735372
w4,p2,i4,378245.6147054521
w4,p3,i1,331772.7762539894
w4,p3,i2,336526.2782433511
w4,p3,i3,349956.4536476064
w4,p3,i4,377147.89009441494
w4,p4,i1,520949.4478470745
w4,p4,i2,560686.1220013298
w4,p4,i3,534588.0860864362
w4,p4,i4,618888.6530332447
w4,p5,i1,426712.9391875
w4,p5,i2,446752.82018218085
w4,p5,i3,443847.33929920214
w4,p5,i4,496536.0902406915
w4,p6,i1,515095.67052393616
w4,p6,i2,544610.5037898936
w4,p6,i3,527799.4438430851
w4,p6,i4,601798.6825664893
w4,p7,i1,392188.98118882976
w4,p7,i2,420014.87703457446
w4,p7,i3,387700.2153324468
w4,p7,i4,460348.57314095745
w4,p8,i1,27891.077726728723
w4,p8,i2,29329.171056515956
w4,p8,i3,24580.53218949468
w4,p8,i4,31176.285630984043
w4,p9,i1,16095.742609042552
w4,p9,i2,16615.10753457447
w4,p9,i3,15502.93382180851
w4,p9,i4,19208.254343085107
w4,p10,i1,134984.83954787234
w4,p10,i2,141765.49725531915
w4,p10,i3,129824.33468085105
w4,p10,i4,159901.86424468085
w4,p11,i1,417278.4857340426
w4,p11,i2,432396.06771276594
w4,p11,i3,439143.3471808511
w4,p11,i4,484487.877037234
w4,p12,i1,564033.5701396277
w4,p12,i2,588885.1434321809
w4,p12,i3,586155.6704428191
w4,p12,i4,656139.6983789894
w4,p13,i1,732640.2444753989
w4,p13,i2,773955.7444913564
w4,p13,i3,765241.0822839095
w4,p13,i4,861377.6597147606
w4,p14,i1,575016.9957486702
w4,p14,i2,604995.7890465426
w4,p14,i3,587357.7782380319
w4,p14,i4,670820.5133656915
w4,p15,i1,260621.2493444149
w4,p15,i2,286418.0246103723
w4,p15,i3,256165.81847207446
w4,p15,i4,313040.13531781913
w4,p16,i1,373949.1176768617
w4,p16,i2,385370.8489747341
w4,p16,i3,395163.91001728724
w4,p16,i4,432748.6369055851
w4,p17,i1,297701.3880332447
w4,p17,i2,315850.52184707444
w4,p17,i3,296391.4127832447
w4,p17,i4,349615.67168218084
w4,p18,i1,613607.2768796543
w4,p18,i2,644361.5242573138
w4,p18,i3,636492.0883902926
w4,p18,i4,710218.7478211436
w4,p19,i1,286327.8572579787
w4,p19,i2,308708.17551861703
w4,p19,i3,277376.3995079787
w4,p19,i4,334674.88161968085
w4,p20,i1,82842.16243018617
w4,p20,i2,90732.04774401596
w4,p20,i3,82103.8627599734
w4,p20,i4,96053.36597273937
w5,p1,i1,222126.4901150266
w5,p1,i2,219503.09151396278
w5,p1,i3,227165.82609906915
