time_id,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20
1,34.732712765957444,59.00398936170213,119.09574468085106,274.0997340425532,154.2593085106383,120.85106382978724,282.66090425531917,296.5119680851064,176.25797872340422,260.54388297872345,230.96941489361706,273.72473404255317,356.52925531914894,362.26728723404256,168.3085106382979,190.9029255319149,217.4800531914894,338.30186170212767,317.3882978723404,239.3031914893617
2,35.476063829787236,57.768617021276604,158.50132978723403,274.1755319148936,147.51196808510642,155.5811170212766,257.5585106382979,278.57313829787233,138.2619680851064,280.2978723404255,231.55585106382978,282.22473404255317,360.155585106383,352.1795212765957,145.6156914893617,203.9627659574468,223.57180851063828,336.1449468085106,312.62898936170205,235.7912234042553
3,31.93351063829787,51.79388297872341,172.08776595744683,270.79122340425533,144.64361702127658,186.99202127659575,246.64494680851064,269.65026595744683,131.9188829787234,270.59973404255317,225.9893617021277,283.12101063829783,362.48404255319156,341.49468085106383,131.8164893617021,199.48670212765958,220.72074468085106,335.7779255319149,308.8829787234043,181.5678191489362
4,32.513297872340424,51.30718085106383,207.5279255319149,263.9601063829788,135.8284574468085,221.58377659574467,227.33510638297872,255.21941489361706,126.34308510638299,279.92287234042556,221.60106382978725,301.03590425531917,356.12765957446805,322.18484042553195,147.28191489361703,194.04122340425528,212.0691489361702,348.04122340425533,318.8590425531915,125.95079787234043
5,35.27260638297872,52.651595744680854,250.59840425531914,271.5226063829787,138.30851063829786,239.30053191489364,207.6462765957447,244.2340425531915,114.88297872340426,264.8337765957447,210.69813829787233,299.54920212765956,359.2978723404255,310.40824468085106,151.27260638297872,192.42287234042556,211.1436170212766,343.18882978723406,340.1356382978723,152.1156914893617
6,54.62898936170213,44.52393617021277,279.1382978723404,272.33111702127667,147.4654255319149,270.71409574468083,188.67952127659575,272.58111702127655,111.54122340425532,237.0359042553191,201.3125,313.20478723404256,379.8882978723404,289.63829787234044,137.11037234042553,193.78989361702128,200.62234042553192,370.84574468085106,339.5172872340425,152.19547872340425
7,77.58244680851064,22.037234042553195,299.04521276595744,263.6023936170213,116.28856382978722,287.85771276595744,181.68484042553192,251.7047872340425,120.46010638297874,223.93085106382975,176.1409574468085,306.6502659574468,376.27127659574467,263.68617021276594,122.80452127659575,185.81382978723406,198.62367021276594,373.6795212765958,323.2579787234043,140.4029255319149
8,92.11835106382979,14.03590425531915,315.3683510638298,255.7074468085106,98.5,305.4135638297872,189.05319148936172,249.218085106383,78.85771276595744,191.63164893617022,131.07978723404253,295.00132978723406,389.0,237.1289893617021,103.13031914893618,179.09574468085108,183.77260638297875,375.6954787234043,294.1143617021276,89.68484042553192
9,61.1781914893617,13.820478723404255,312.94015957446805,226.08111702127658,59.52260638297873,244.90824468085103,139.3710106382979,176.92952127659575,54.83776595744681,120.77792553191489,98.8404255319149,290.98936170212767,361.1369680851064,186.8909574468085,88.47340425531914,173.2726063829787,190.4002659574468,362.82313829787233,283.8337765957447,65.55452127659574
10,42.33244680851064,11.732712765957446,322.7659574468085,200.32313829787236,24.606382978723403,169.69015957446808,112.19547872340425,128.2034574468085,40.753989361702125,86.26595744680851,93.33377659574468,271.46542553191483,347.4534574468085,174.3324468085106,76.55319148936171,176.55851063829786,206.62765957446808,368.37632978723406,295.79787234042556,81.97739361702129
11,43.88430851063829,12.220744680851064,325.4441489361702,201.89760638297875,20.32845744680851,157.6090425531915,116.78723404255318,125.6821808510638,33.30186170212767,87.83643617021276,94.11968085106382,260.23005319148933,361.48005319148933,160.54787234042553,68.99335106382979,185.12765957446805,205.8710106382979,337.8816489361702,274.83776595744683,106.9188829787234
12,41.246010638297875,12.91090425531915,318.44015957446805,173.3085106382979,20.738031914893615,152.52393617021275,127.92686170212764,118.78191489361704,33.390957446808514,104.30718085106383,98.64228723404254,265.4255319148936,341.60372340425533,140.32446808510636,56.01462765957446,184.19281914893614,196.52393617021278,337.7114361702128,276.01063829787233,117.54255319148938
13,50.73537234042553,11.623670212765957,327.6103723404255,178.52260638297872,22.752659574468087,147.97739361702128,146.3404255319149,123.49468085106382,34.37765957446808,122.98803191489363,116.93351063829789,262.6875,337.5757978723404,131.1130319148936,48.78191489361702,183.0571808510638,196.03989361702125,344.07446808510633,278.87367021276594,139.1662234042553
14,53.95345744680851,10.91090425531915,316.8829787234043,205.07712765957444,36.94547872340426,158.55452127659575,180.92686170212767,131.9747340425532,39.494680851063826,148.06781914893617,127.44813829787235,267.26861702127655,350.68218085106383,130.84042553191492,47.80053191489362,191.64228723404256,207.28058510638297,345.9122340425532,282.873670212766,172.9840425531915
15,52.829787234042556,12.706117021276595,322.3390957446809,229.93882978723406,45.490691489361694,173.32047872340425,215.04920212765958,152.79388297872336,48.23803191489362,184.0877659574468,151.36436170212764,312.2460106382979,360.8789893617021,139.0212765957447,52.6436170212766,183.35372340425533,217.40957446808508,355.529255319149,278.9627659574468,180.28058510638297
16,59.050531914893625,15.52659574468085,309.4627659574468,233.25797872340425,56.127659574468076,190.76196808510636,220.531914893617,179.99468085106383,68.40691489361701,209.6156914893617,181.22872340425533,324.8656914893617,367.718085106383,160.3470744680851,58.594414893617014,193.6183510638298,233.98005319148933,373.6489361702128,277.4640957446809,213.16888297872342
17,59.460106382978715,16.5,290.8231382978724,208.52925531914894,69.17686170212765,241.02393617021275,232.26595744680853,186.9468085106383,95.0159574468085,251.31648936170214,192.67952127659575,344.56515957446805,385.4454787234042,190.6968085106383,69.68882978723406,227.74999999999997,264.99601063829783,392.32446808510633,288.17420212765967,233.9534574468085
18,55.39760638297872,12.40691489361702,269.5212765957447,173.38297872340425,75.12367021276596,249.64228723404253,258.5797872340425,208.34973404255322,99.80186170212767,302.82978723404256,204.33909574468083,349.4906914893617,389.7420212765957,214.40824468085106,76.27393617021276,253.41489361702125,294.68882978723406,398.99734042553195,300.6409574468085,264.7034574468085
19,52.454787234042556,11.98936170212766,252.5718085106383,178.44547872340428,83.86835106382978,291.30984042553195,289.405585106383,227.14893617021275,128.49867021276592,315.9654255319149,219.53856382978722,373.64361702127655,396.97074468085106,232.1875,94.88031914893617,260.9654255319149,317.3590425531915,385.8803191489361,361.8843085106383,309.8244680851064
20,48.63829787234043,13.503989361702127,241.24601063829786,174.8244680851064,77.61303191489363,311.9614361702128,305.5571808510639,221.56382978723403,157.99335106382978,302.79255319148933,252.67819148936172,386.3364361702128,404.2885638297872,223.68351063829786,115.64228723404254,274.9348404255319,320.1023936170213,379.16622340425533,349.5531914893617,317.8736702127659
21,50.711436170212764,22.219414893617024,233.5598404255319,164.3656914893617,72.43085106382979,321.25531914893617,308.1356382978724,213.91356382978722,190.25531914893617,277.2513297872341,264.2845744680851,380.95877659574467,392.968085106383,243.36968085106383,134.56515957446808,271.4308510638297,325.7034574468085,353.27659574468083,343.29920212765956,335.0824468085106
22,53.038563829787236,36.42553191489362,250.90824468085106,154.05585106382978,77.63829787234042,320.47473404255317,300.2406914893617,218.03590425531914,203.5505319148936,271.75132978723406,251.6875,377.61968085106383,392.89627659574467,207.85106382978725,149.33510638297872,259.4215425531915,323.8563829787234,335.64494680851067,324.4215425531915,332.9454787234042
23,57.87234042553192,56.81648936170213,264.0625,157.10505319148933,86.05319148936171,315.26329787234044,303.5558510638298,205.61037234042553,232.49202127659572,263.1954787234043,249.52526595744683,361.83909574468083,387.7952127659574,182.99069148936172,172.5757978723404,248.80585106382975,323.47074468085106,329.69813829787233,305.30585106382983,316.7220744680851
24,54.59441489361702,84.2686170212766,243.89627659574467,151.52393617021275,97.22739361702128,288.46143617021266,297.8231382978724,186.30851063829783,241.2327127659574,250.01994680851064,269.4654255319149,365.73138297872345,369.281914893617,168.35106382978722,177.48005319148936,234.72074468085106,326.8257978723404,323.1821808510638,272.29521276595744,304.2686170212766
