method,c_up,n_profiles,n_minutes,eta_m,eta_j,esf_kW,max_shortfall_kW,required_reliability,p90_met_eta_m,p90_met_eta_j
ALSO-X,265.02932415369844,200,60,0.08366666666666667,0.395,1.6571060451721908,45.0028401691516,0.9,True,False
CVaR,244.25745365763797,200,60,0.0375,0.305,0.417359284209555,24.230969673091124,0.9,True,False
