required_reliability,epsilon,c_up_kW,iterations,n_fixed,eta_m,eta_j,expected_shortfall_kW,max_shortfall_kW,p90_met_eta_m,p90_met_eta_j
0.8,0.19999999999999996,302.4971828216996,2,3944,0.19433333333333333,0.51,6.753330089431787,82.47069883715275,True,False
0.8250000000000001,0.17499999999999993,294.26184128536556,2,3736,0.16641666666666666,0.495,5.267308109714903,74.23535730081872,True,False
0.8500000000000001,0.1499999999999999,285.0239216909865,2,3480,0.13941666666666666,0.47,3.8526969168197276,64.99743770643968,True,False
0.875,0.125,274.4743816772089,2,3182,0.10716666666666666,0.43,2.5553094859714998,54.44789769266205,True,False
0.9,0.09999999999999998,265.02932415369844,2,2838,0.08366666666666667,0.395,1.6571060451721908,45.0028401691516,True,False
0.925,0.07499999999999996,255.2802045872587,2,2447,0.061,0.35,0.9579194392616512,35.253720602711866,True,False
0.95,0.050000000000000044,245.42870256453193,2,2012,0.04033333333333333,0.31,0.462596921640867,25.40221857998509,True,False
0.975,0.025000000000000022,233.19204224662346,2,1369,0.0185,0.27,0.11375268443844129,13.165558262076615,True,False
1.0,0.0,220.0411636405229,1,0,0.00016666666666666666,0.01,1.8037940243473827e-06,0.014679655976067352,False,False
